timestamp,temp_C,humidity_pct
2026-06-07T14:00:00,17.8,82
2026-06-07T14:00:10,17.8,83
2026-06-07T14:00:20,17.8,79
2026-06-07T14:00:30,17.900000000000002,81
2026-06-07T14:00:40,17.7,82
2026-06-07T14:00:50,17.900000000000002,84
2026-06-07T14:01:00,18.0,82
2026-06-07T14:01:10,17.6,80
2026-06-07T14:01:20,17.900000000000002,85
2026-06-07T14:01:30,17.8,82
2026-06-07T14:01:40,18.0,79
2026-06-07T14:01:50,17.7,83
2026-06-07T14:02:00,18.1,82
2026-06-07T14:02:10,17.900000000000002,82
2026-06-07T14:02:20,18.0,80
2026-06-07T14:02:30,18.0,79
2026-06-07T14:02:40,17.0,81
2026-06-07T14:02:50,17.5,84
2026-06-07T14:03:00,18.0,80
2026-06-07T14:03:10,18.1,80
2026-06-07T14:03:20,17.8,81
2026-06-07T14:03:30,17.8,84
2026-06-07T14:03:40,18.0,83
2026-06-07T14:03:50,18.0,83
2026-06-07T14:04:00,17.6,81
2026-06-07T14:04:10,17.7,83
2026-06-07T14:04:20,17.7,87
2026-06-07T14:04:30,17.6,80
2026-06-07T14:04:40,18.0,85
2026-06-07T14:04:50,18.0,84
