timestamp,temp_C,humidity_pct
2026-06-07T14:00:00,28.0,34
2026-06-07T14:00:10,26.6,33
2026-06-07T14:00:20,27.8,31
2026-06-07T14:00:30,27.3,35
2026-06-07T14:00:40,27.1,35
2026-06-07T14:00:50,27.6,39
2026-06-07T14:01:00,27.6,33
2026-06-07T14:01:10,27.0,32
2026-06-07T14:01:20,27.8,33
2026-06-07T14:01:30,27.3,35
2026-06-07T14:01:40,26.900000000000002,33
2026-06-07T14:01:50,26.400000000000002,32
2026-06-07T14:02:00,27.0,35
2026-06-07T14:02:10,27.900000000000002,34
2026-06-07T14:02:20,27.400000000000002,34
2026-06-07T14:02:30,27.8,36
2026-06-07T14:02:40,27.400000000000002,32
2026-06-07T14:02:50,27.8,35
2026-06-07T14:03:00,27.900000000000002,34
2026-06-07T14:03:10,28.3,33
2026-06-07T14:03:20,28.1,34
2026-06-07T14:03:30,27.0,32
2026-06-07T14:03:40,27.2,37
2026-06-07T14:03:50,27.7,35
2026-06-07T14:04:00,26.1,35
2026-06-07T14:04:10,27.6,33
2026-06-07T14:04:20,27.0,34
2026-06-07T14:04:30,28.2,32
2026-06-07T14:04:40,27.1,37
2026-06-07T14:04:50,27.1,33
