timestamp,temp_C,humidity_pct
2026-06-07T14:00:00,22.1,46
2026-06-07T14:00:10,22.1,46
2026-06-07T14:00:20,22.3,47
2026-06-07T14:00:30,22.6,47
2026-06-07T14:00:40,22.400000000000002,46
2026-06-07T14:00:50,22.1,47
2026-06-07T14:01:00,22.400000000000002,45
2026-06-07T14:01:10,22.3,48
2026-06-07T14:01:20,22.400000000000002,48
2026-06-07T14:01:30,22.1,46
2026-06-07T14:01:40,21.900000000000002,47
2026-06-07T14:01:50,22.1,49
2026-06-07T14:02:00,22.0,47
2026-06-07T14:02:10,21.8,47
2026-06-07T14:02:20,22.200000000000003,48
2026-06-07T14:02:30,22.400000000000002,47
2026-06-07T14:02:40,21.900000000000002,47
2026-06-07T14:02:50,22.200000000000003,47
2026-06-07T14:03:00,22.0,48
2026-06-07T14:03:10,22.1,48
2026-06-07T14:03:20,22.400000000000002,48
2026-06-07T14:03:30,22.200000000000003,49
2026-06-07T14:03:40,22.1,47
2026-06-07T14:03:50,22.1,48
2026-06-07T14:04:00,22.1,48
2026-06-07T14:04:10,22.3,46
2026-06-07T14:04:20,21.8,47
2026-06-07T14:04:30,22.1,46
2026-06-07T14:04:40,22.3,48
2026-06-07T14:04:50,21.900000000000002,48
