location,timestamp,temp_C,humidity_pct
pond_edge,2026-06-07T14:00:00,17.8,82
pond_edge,2026-06-07T14:00:10,17.8,83
pond_edge,2026-06-07T14:00:20,17.8,79
pond_edge,2026-06-07T14:00:30,17.900000000000002,81
pond_edge,2026-06-07T14:00:40,17.7,82
pond_edge,2026-06-07T14:00:50,17.900000000000002,84
pond_edge,2026-06-07T14:01:00,18.0,82
pond_edge,2026-06-07T14:01:10,17.6,80
pond_edge,2026-06-07T14:01:20,17.900000000000002,85
pond_edge,2026-06-07T14:01:30,17.8,82
pond_edge,2026-06-07T14:01:40,18.0,79
pond_edge,2026-06-07T14:01:50,17.7,83
pond_edge,2026-06-07T14:02:00,18.1,82
pond_edge,2026-06-07T14:02:10,17.900000000000002,82
pond_edge,2026-06-07T14:02:20,18.0,80
pond_edge,2026-06-07T14:02:30,18.0,79
pond_edge,2026-06-07T14:02:40,17.0,81
pond_edge,2026-06-07T14:02:50,17.5,84
pond_edge,2026-06-07T14:03:00,18.0,80
pond_edge,2026-06-07T14:03:10,18.1,80
pond_edge,2026-06-07T14:03:20,17.8,81
pond_edge,2026-06-07T14:03:30,17.8,84
pond_edge,2026-06-07T14:03:40,18.0,83
pond_edge,2026-06-07T14:03:50,18.0,83
pond_edge,2026-06-07T14:04:00,17.6,81
pond_edge,2026-06-07T14:04:10,17.7,83
pond_edge,2026-06-07T14:04:20,17.7,87
pond_edge,2026-06-07T14:04:30,17.6,80
pond_edge,2026-06-07T14:04:40,18.0,85
pond_edge,2026-06-07T14:04:50,18.0,84
homelab,2026-06-07T14:00:00,28.0,34
homelab,2026-06-07T14:00:10,26.6,33
homelab,2026-06-07T14:00:20,27.8,31
homelab,2026-06-07T14:00:30,27.3,35
homelab,2026-06-07T14:00:40,27.1,35
homelab,2026-06-07T14:00:50,27.6,39
homelab,2026-06-07T14:01:00,27.6,33
homelab,2026-06-07T14:01:10,27.0,32
homelab,2026-06-07T14:01:20,27.8,33
homelab,2026-06-07T14:01:30,27.3,35
homelab,2026-06-07T14:01:40,26.900000000000002,33
homelab,2026-06-07T14:01:50,26.400000000000002,32
homelab,2026-06-07T14:02:00,27.0,35
homelab,2026-06-07T14:02:10,27.900000000000002,34
homelab,2026-06-07T14:02:20,27.400000000000002,34
homelab,2026-06-07T14:02:30,27.8,36
homelab,2026-06-07T14:02:40,27.400000000000002,32
homelab,2026-06-07T14:02:50,27.8,35
homelab,2026-06-07T14:03:00,27.900000000000002,34
homelab,2026-06-07T14:03:10,28.3,33
homelab,2026-06-07T14:03:20,28.1,34
homelab,2026-06-07T14:03:30,27.0,32
homelab,2026-06-07T14:03:40,27.2,37
homelab,2026-06-07T14:03:50,27.7,35
homelab,2026-06-07T14:04:00,26.1,35
homelab,2026-06-07T14:04:10,27.6,33
homelab,2026-06-07T14:04:20,27.0,34
homelab,2026-06-07T14:04:30,28.2,32
homelab,2026-06-07T14:04:40,27.1,37
homelab,2026-06-07T14:04:50,27.1,33
hallway,2026-06-07T14:00:00,22.1,46
hallway,2026-06-07T14:00:10,22.1,46
hallway,2026-06-07T14:00:20,22.3,47
hallway,2026-06-07T14:00:30,22.6,47
hallway,2026-06-07T14:00:40,22.400000000000002,46
hallway,2026-06-07T14:00:50,22.1,47
hallway,2026-06-07T14:01:00,22.400000000000002,45
hallway,2026-06-07T14:01:10,22.3,48
hallway,2026-06-07T14:01:20,22.400000000000002,48
hallway,2026-06-07T14:01:30,22.1,46
hallway,2026-06-07T14:01:40,21.900000000000002,47
hallway,2026-06-07T14:01:50,22.1,49
hallway,2026-06-07T14:02:00,22.0,47
hallway,2026-06-07T14:02:10,21.8,47
hallway,2026-06-07T14:02:20,22.200000000000003,48
hallway,2026-06-07T14:02:30,22.400000000000002,47
hallway,2026-06-07T14:02:40,21.900000000000002,47
hallway,2026-06-07T14:02:50,22.200000000000003,47
hallway,2026-06-07T14:03:00,22.0,48
hallway,2026-06-07T14:03:10,22.1,48
hallway,2026-06-07T14:03:20,22.400000000000002,48
hallway,2026-06-07T14:03:30,22.200000000000003,49
hallway,2026-06-07T14:03:40,22.1,47
hallway,2026-06-07T14:03:50,22.1,48
hallway,2026-06-07T14:04:00,22.1,48
hallway,2026-06-07T14:04:10,22.3,46
hallway,2026-06-07T14:04:20,21.8,47
hallway,2026-06-07T14:04:30,22.1,46
hallway,2026-06-07T14:04:40,22.3,48
hallway,2026-06-07T14:04:50,21.900000000000002,48
